country,t,estimate_main,Gini_main,estimate_T,Gini_T,estimate_CES,Gini_CES,estimate_PTM,Gini_PTM,estimate_Poor,Gini_Poor,estimate_Ladder,Gini_Ladder,estimate_PPML,Gini_PPML,estimate_Consumption,Gini_Consumption
HRV,1995-1997,.52079999,35.290001,.4454,33.220001,.47150001,33.970001,.51069999,35.029999,.53259999,35.59,.5564,36.189999,.36000001,30.5,.4237,32.57
HRV,1998-2000,.49259999,34.549999,.48230001,34.27,.46070001,33.66,.50779998,34.950001,.4673,33.849998,.46990001,33.919998,.389,31.48,.49720001,34.669998
HRV,2001-2003,.36970001,30.83,.3863,31.389999,.3818,31.24,.37329999,30.959999,.23270001,25.360001,.373,30.940001,.34630001,30.02,.48969999,34.470001
HRV,2004-2006,.34400001,29.940001,.37909999,31.15,.3732,30.950001,.3348,29.6,.33419999,29.58,.35339999,30.27,.37149999,30.9,.4982,34.700001
HRV,2007-2009,.35460001,30.309999,.336,29.65,.39629999,31.709999,.36970001,30.84,.31600001,28.9,.33719999,29.690001,.3646,30.66,.52100003,35.299999
HRV,2010-2012,.36480001,30.67,.3457,30,.40700001,32.049999,.38640001,31.389999,.3662,30.709999,.31869999,29,.35609999,30.360001,.50269997,34.82
HRV,2013-2015,.64679998,38.25,.61089998,37.459999,.62169999,37.700001,.61580002,37.57,.58740002,36.919998,.68110001,38.970001,.3822,31.25,.58319998,36.830002
HRV,2016-2018,.68760002,39.099998,.6372,38.049999,.6419,38.150002,.66399997,38.610001,.6595,38.52,.7475,40.27,.36500001,30.67,.59439999,37.09
HTI,1995-1997,.94730002,43.619999,1.2459,47.529999,.90710002,43.009998,1.0369999,44.91,.64249998,38.16,1.3135999,48.279999,.82810003,41.709999,1.1845,46.810001
HTI,1998-2000,1.2657,47.75,1.4611,49.779999,1.1715,46.650002,1.4375,49.549999,1.646,51.450001,1.6957999,51.869999,.79570001,41.150002,1.4492,49.669998
HTI,2001-2003,1.1443,46.310001,1.442,49.599998,1.0644,45.279999,1.0384001,44.93,1.3647,48.82,1.3963,49.139999,1.073,45.400002,1.1349,46.200001
HTI,2004-2006,1.1917,46.889999,1.4634,49.799999,1.1569,46.470001,1.2079,47.09,1.5214,50.349998,1.2737,47.84,.84429997,41.990002,1.1178,45.98
HTI,2007-2009,1.0678,45.330002,.83520001,41.830002,.84350002,41.970001,1.1981,46.970001,1.2282,47.32,1.0697,45.349998,.99330002,44.299999,.88489997,42.650002
HTI,2010-2012,.85280001,42.130001,.76480001,40.59,.81370002,41.470001,.82950002,41.740002,.45680001,33.549999,.81010002,41.400002,1.0023,44.43,.62800002,37.84
HTI,2013-2015,.77509999,40.779999,.73040003,39.950001,.6778,38.900002,.69999999,39.349998,.36379999,30.629999,.83279997,41.799999,1.0073,44.5,.63569999,38.009998
HTI,2016-2018,1.1047,45.810001,.90429997,42.959999,.97869998,44.09,1.1273,46.099998,.77759999,40.830002,1.3726,48.900002,.95099998,43.68,.86690003,42.360001
HUN,1995-1997,.4021,31.9,.40189999,31.889999,.4068,32.049999,.41639999,32.349998,.4456,33.23,.37850001,31.129999,.34240001,29.879999,.39950001,31.809999
HUN,1998-2000,.4025,31.91,.42230001,32.529999,.42039999,32.470001,.3809,31.209999,.41339999,32.25,.35499999,30.33,.336,29.65,.4463,33.25
HUN,2001-2003,.37259999,30.93,.3653,30.68,.39820001,31.780001,.389,31.48,.465,33.790001,.31310001,28.790001,.30430001,28.450001,.46470001,33.779999
HUN,2004-2006,.58069998,36.77,.4659,33.810001,.56519997,36.400002,.59390002,37.080002,.67589998,38.860001,.58579999,36.889999,.38150001,31.23,.50319999,34.830002
HUN,2007-2009,.60250002,37.27,.54250002,35.84,.55680001,36.200001,.61919999,37.650002,.64539999,38.220001,.6225,37.720001,.3452,29.98,.52960002,35.52
HUN,2010-2012,.62120003,37.689999,.56940001,36.5,.55980003,36.27,.64160001,38.139999,.7101,39.549999,.6918,39.189999,.33410001,29.58,.5151,35.139999
HUN,2013-2015,.611,37.459999,.56330001,36.349998,.52569997,35.419998,.62419999,37.759998,.66890001,38.720001,.69120002,39.169998,.35260001,30.24,.4835,34.299999
